Transaction ID #,Fech@_Registro,Nombre Cliente (RAW),Monto $$,Categoría_Producto/Tipo,Score (1-5),Notes & Comments,¿Es_Fraude?
1456.0,2020-03-01 15:00:00,Cliente_1455,$931.64,Juguetes,uno,t n w o k q s v b e,0.0
1457.0,2020-03-01 16:00:00,Cliente_1456,$692.63,Juguetes,4.0,w u g b w o b o c n,0.0
1458.0,2020-03-01 17:00:00,Cliente_1457,679.75 USD,,dos,c g o v b m v d u s,0.0
1459.0,2020-03-01 18:00:00,Cliente_1458,$223.52,Hogar,5.0,c d l k q c t l r z,1.0
1460.0,2020-03-01 19:00:00,Cliente_1459,662.3,Ropa,cinco,i a a a r a v a i t,0.0
1461.0,2020-03-01 20:00:00,Cliente_1460,$399.93,Hogar,cuatro,v p c e y c u o j u,0.0
1462.0,2020-03-01 21:00:00,Cliente_1461,654.72,,cinco,t p s z i r u n h h,0.0
1463.0,2020-03-01 22:00:00,Cliente_1462,115.53,Juguetes,cinco,e o d r o h n t d v,0.0
1464.0,2020-03-01 23:00:00,Cliente_1463,$661.27,Ropa,4.0,h q b j b l a p a g,0.0
1465.0,2020-03-02 00:00:00,Cliente_1464,999.42,Hogar,4.0,,0.0
1466.0,2020-03-02 01:00:00,Cliente_1465,57.73,Libros,dos,h f i r j v u j b s,
,2020-03-02 02:00:00,Cliente_1466,977.4,Hogar,tres,,0.0
1468.0,2020-03-02 03:00:00,Cliente_1467,$412.84,Libros,1.0,q y y e b g b d k v,0.0
1469.0,,Cliente_1468,$872.05,Ropa,4.0,d o n a q g w e y m,0.0
1470.0,,Cliente_1469,784.56,Ropa,cuatro,y n j t n b g e b s,0.0
1471.0,2020-03-02 06:00:00,Cliente_1470,$571.35,Ropa,cinco,q h e o r s k e g k,0.0
1472.0,2020-03-02 07:00:00,,741.06,Hogar,dos,s j s n f i u c w v,0.0
1473.0,2020-03-02 08:00:00,,879.73 USD,Electrónica,cinco,h z k j t t w b k f,0.0
1474.0,2020-03-02 09:00:00,Cliente_1473,410.1,Hogar,4.0,r i r h y x a c j k,0.0
1475.0,2020-03-02 10:00:00,Cliente_1474,333.76,Hogar,4.0,h h o v n x u t j o,0.0
1476.0,2020-03-02 11:00:00,Cliente_1475,670.92,Juguetes,5.0,n e z i z m v b r a,0.0
1477.0,2020-03-02 12:00:00,Cliente_1476,$809.77,Juguetes,4.0,r b w g x f t j v g,0.0
1478.0,,Cliente_1477,764.66,Hogar,tres,i s k f d c c p n s,0.0
1479.0,2020-03-02 14:00:00,Cliente_1478,$799.84,,uno,u o p f p q f f k i,0.0
1480.0,2020-03-02 15:00:00,Cliente_1479,441.23,Juguetes,uno,,1.0
1481.0,2020-03-02 16:00:00,Cliente_1480,$819.66,Hogar,uno,k m n k o w x a e v,0.0
1482.0,2020-03-02 17:00:00,Cliente_1481,$129.01,Electrónica,3.0,z a c u c d p y g j,0.0
1483.0,2020-03-02 18:00:00,Cliente_1482,549.04,Libros,4.0,m s g h z d s k a q,0.0
1484.0,2020-03-02 19:00:00,Cliente_1483,15.7,Ropa,5.0,f j u d b i b d n u,0.0
1485.0,2020-03-02 20:00:00,Cliente_1484,$331.34,Hogar,dos,h o f k m v p t k e,0.0
1486.0,2020-03-02 21:00:00,Cliente_1485,372.8,Hogar,4.0,s y p n b l i k c y,0.0
1487.0,2020-03-02 22:00:00,Cliente_1486,$402.21,Libros,3.0,,0.0
1488.0,2020-03-02 23:00:00,Cliente_1487,698.51,Juguetes,tres,m k l u b s d d u a,0.0
1489.0,2020-03-03 00:00:00,Cliente_1488,394.67,Juguetes,1.0,b f z n f k w c w a,0.0
1490.0,2020-03-03 01:00:00,Cliente_1489,$454.21,Juguetes,cuatro,e l i t c e f x j v,0.0
1491.0,2020-03-03 02:00:00,Cliente_1490,245.17,Ropa,1.0,n e o m w l o x q z,0.0
1492.0,2020-03-03 03:00:00,Cliente_1491,379.52,Libros,2.0,v h z d h o u z u i,0.0
1493.0,2020-03-03 04:00:00,Cliente_1492,235.0,Libros,uno,g w x t n k f q p d,0.0
1494.0,2020-03-03 05:00:00,Cliente_1493,$82.46,Juguetes,2.0,c j r a v n z p b h,0.0
1495.0,2020-03-03 06:00:00,Cliente_1494,607.41,Juguetes,3.0,o y s l g u k p o y,0.0
1496.0,2020-03-03 07:00:00,Cliente_1495,$671.53,Electrónica,uno,k q v w r v q t t r,0.0
1497.0,2020-03-03 08:00:00,Cliente_1496,623.3,Electrónica,uno,t w c n d u p q o d,0.0
1498.0,2020-03-03 09:00:00,Cliente_1497,468.86,,cinco,o h u x o u w y x c,
1499.0,2020-03-03 10:00:00,Cliente_1498,385.99,Hogar,tres,v u f u u l o y b q,0.0
1500.0,2020-03-03 11:00:00,,864.7 USD,Libros,5.0,a o e q l k x q e f,0.0
1501.0,2020-03-03 12:00:00,Cliente_1500,$523.89,Libros,2.0,o z f p i r x q x n,0.0
1502.0,2020-03-03 13:00:00,Cliente_1501,484.39 USD,Ropa,dos,r o a v h a i k r z,0.0
1503.0,2020-03-03 14:00:00,Cliente_1502,$35.39,Ropa,,x o l a u u k t o d,0.0
1504.0,2020-03-03 15:00:00,Cliente_1503,347.84,Electrónica,dos,r c o o i q y f o v,1.0
1505.0,2020-03-03 16:00:00,Cliente_1504,386.39,Hogar,3.0,c v w t u i i y d v,0.0
1506.0,2020-03-03 17:00:00,Cliente_1505,404.83,Electrónica,dos,u k d p u w h x w v,0.0
1507.0,2020-03-03 18:00:00,Cliente_1506,584.37,Electrónica,4.0,e t a r n p x k z d,0.0
1508.0,2020-03-03 19:00:00,Cliente_1507,538.27,Hogar,1.0,z k f c f p v v a y,0.0
,2020-03-03 20:00:00,Cliente_1508,611.83,Ropa,cuatro,j b q c q b t b k e,
1510.0,2020-03-03 21:00:00,Cliente_1509,$767.23,,tres,q f p l k d s f h a,0.0
1511.0,2020-03-03 22:00:00,Cliente_1510,814.86,Juguetes,tres,m l h e s l d k w r,0.0
1512.0,2020-03-03 23:00:00,Cliente_1511,720.94,Juguetes,cuatro,p i o c w s v x y z,0.0
1513.0,2020-03-04 00:00:00,Cliente_1512,955.97,,1.0,o y b u a y r g z f,0.0
1514.0,,Cliente_1513,28.05,Libros,1.0,l c d y j y f x k m,0.0
,2020-03-04 02:00:00,,203.82,Ropa,5.0,y m f z x r c e j f,0.0
1516.0,2020-03-04 03:00:00,Cliente_1515,$17.49,Ropa,2.0,k v z i m o z j e l,0.0
1517.0,2020-03-04 04:00:00,Cliente_1516,$651.0,Libros,5.0,x o h p s e p b w h,0.0
1518.0,2020-03-04 05:00:00,Cliente_1517,899.05,Electrónica,1.0,b v l h b l r v k n,0.0
,2020-03-04 06:00:00,Cliente_1518,251.05,Juguetes,4.0,y x t m n x b v q w,0.0
1520.0,2020-03-04 07:00:00,,$927.76,Juguetes,dos,x p v c f n z e o t,0.0
1521.0,2020-03-04 08:00:00,Cliente_1520,69.66 USD,Electrónica,cuatro,m t p g l v w o w w,0.0
1522.0,2020-03-04 09:00:00,Cliente_1521,935.09 USD,Hogar,5.0,e r i a f t y a u p,0.0
1523.0,2020-03-04 10:00:00,Cliente_1522,358.11,Hogar,tres,s l r z l s k y g k,0.0
1524.0,2020-03-04 11:00:00,Cliente_1523,$110.41,Ropa,cuatro,,0.0
,2020-03-04 12:00:00,Cliente_1524,491.01,Libros,cinco,i e z r r a i z y r,0.0
,2020-03-04 13:00:00,Cliente_1525,264.21 USD,Ropa,5.0,k d b q y b o i k l,0.0
1527.0,2020-03-04 14:00:00,Cliente_1526,292.02,Hogar,5.0,p b p u g l p h o a,0.0
1528.0,2020-03-04 15:00:00,Cliente_1527,314.22 USD,Electrónica,3.0,e x a i a p s r o z,
1529.0,2020-03-04 16:00:00,Cliente_1528,805.0,Ropa,tres,p r n h d w i t n q,0.0
,2020-03-04 17:00:00,Cliente_1529,543.77,,3.0,q h l o l v x s l j,0.0
,2020-03-04 18:00:00,Cliente_1530,318.19,Juguetes,2.0,e x k k f t r a q h,0.0
1532.0,2020-03-04 19:00:00,Cliente_1531,$614.23,Electrónica,3.0,u z b q z m n j d q,0.0
1533.0,2020-03-04 20:00:00,Cliente_1532,,,3.0,,0.0
1534.0,2020-03-04 21:00:00,Cliente_1533,279.9,Juguetes,tres,n r a q r u j s w r,0.0
1535.0,2020-03-04 22:00:00,Cliente_1534,419.41,Juguetes,4.0,w t k s i l a r e x,0.0
1536.0,2020-03-04 23:00:00,Cliente_1535,130.67,Libros,tres,,0.0
,2020-03-05 00:00:00,Cliente_1536,189.34,Ropa,dos,p e g y r t w u v f,0.0
1538.0,2020-03-05 01:00:00,Cliente_1537,684.31,Hogar,5.0,y o x o c k g r x e,0.0
1539.0,2020-03-05 02:00:00,Cliente_1538,189.62,Ropa,4.0,t s y e y k z e y f,0.0
,2020-03-05 03:00:00,Cliente_1539,529.91,Hogar,1.0,s i p r c w y c s j,0.0
1541.0,2020-03-05 04:00:00,Cliente_1540,$711.96,Juguetes,tres,a q n y y o a i m r,0.0
1542.0,2020-03-05 05:00:00,Cliente_1541,$115.81,,cinco,v f f q d r n p y c,0.0
1543.0,2020-03-05 06:00:00,Cliente_1542,$571.64,Ropa,5.0,m m b n s p g a v f,
1544.0,2020-03-05 07:00:00,,264.0,Juguetes,cuatro,h i l i i c s j x v,0.0
1545.0,2020-03-05 08:00:00,Cliente_1544,,Hogar,uno,,0.0
1546.0,2020-03-05 09:00:00,Cliente_1545,$488.71,Ropa,2.0,s q c y u a j l q y,0.0
1547.0,2020-03-05 10:00:00,Cliente_1546,807.93,Ropa,5.0,d p m b t d m h d v,0.0
1548.0,2020-03-05 11:00:00,Cliente_1547,$554.72,Juguetes,cinco,n w j e d i v v l b,0.0
,2020-03-05 12:00:00,Cliente_1548,$52.98,Ropa,5.0,i u n u l l h e m i,1.0
1550.0,2020-03-05 13:00:00,Cliente_1549,636.82,Libros,cinco,i t r o i p z u i s,0.0
1551.0,2020-03-05 14:00:00,Cliente_1550,$951.89,Libros,4.0,p e d y x z v l i d,0.0
1552.0,2020-03-05 15:00:00,Cliente_1551,605.6,Juguetes,1.0,,0.0
1553.0,2020-03-05 16:00:00,Cliente_1552,821.0,Hogar,5.0,w w v u w b a i a f,0.0
1554.0,2020-03-05 17:00:00,Cliente_1553,885.36,,2.0,q o e c h w n j p z,
1555.0,2020-03-05 18:00:00,Cliente_1554,$235.8,,2.0,m m w z f l q l y q,0.0
1556.0,2020-03-05 19:00:00,Cliente_1555,219.92,Electrónica,3.0,d a j n t e j f y n,0.0
1557.0,2020-03-05 20:00:00,Cliente_1556,$614.87,Electrónica,cinco,u e o v t e b f d v,0.0
1558.0,2020-03-05 21:00:00,Cliente_1557,416.92,Ropa,cinco,,0.0
1559.0,,Cliente_1558,841.46,Ropa,cinco,,0.0
1560.0,2020-03-05 23:00:00,Cliente_1559,$901.02,Electrónica,cinco,i t j q m j w y i q,0.0
1561.0,2020-03-06 00:00:00,,359.89,Libros,5.0,n u r l x o s k o e,0.0
1562.0,2020-03-06 01:00:00,Cliente_1561,$244.5,Ropa,2.0,l d m b r f u s y r,0.0
1563.0,,Cliente_1562,782.72,Juguetes,uno,z y y i e o o p t w,0.0
1564.0,2020-03-06 03:00:00,Cliente_1563,282.06,Juguetes,uno,y t u r p q g o g e,0.0
1565.0,2020-03-06 04:00:00,Cliente_1564,824.39,Libros,3.0,q s g p x f o i k m,0.0
1566.0,2020-03-06 05:00:00,Cliente_1565,429.5,Ropa,2.0,q t w f v h y o g g,0.0
1567.0,2020-03-06 06:00:00,Cliente_1566,670.87,Juguetes,5.0,v u p s e l v w l e,0.0
1568.0,2020-03-06 07:00:00,Cliente_1567,104.58,Ropa,uno,e b b g x m n m c m,0.0
1569.0,2020-03-06 08:00:00,Cliente_1568,$627.62,Ropa,4.0,x i p o x g d v t c,0.0
1570.0,2020-03-06 09:00:00,Cliente_1569,$457.25,Juguetes,cuatro,u k u w o e w g o p,0.0
1571.0,2020-03-06 10:00:00,Cliente_1570,590.74,Electrónica,4.0,y x n n o j f t s j,0.0
1572.0,2020-03-06 11:00:00,Cliente_1571,$176.33,Juguetes,5.0,n e q k b v t z t f,0.0
,2020-03-06 12:00:00,Cliente_1572,$739.51,Libros,cinco,h h x q v w o c b v,0.0
1574.0,2020-03-06 13:00:00,Cliente_1573,864.17,Hogar,3.0,e f s x w a d p u s,0.0
,,Cliente_1574,224.57,Juguetes,tres,p j a h m q t f p f,0.0
,2020-03-06 15:00:00,Cliente_1575,104.76,,3.0,a k m f p c z d b d,0.0
1577.0,2020-03-06 16:00:00,Cliente_1576,33.4,Ropa,4.0,d f d r s l m r b p,0.0
1578.0,2020-03-06 17:00:00,Cliente_1577,645.55,Juguetes,cinco,t c c k d e d s l s,0.0
1579.0,2020-03-06 18:00:00,Cliente_1578,$611.02,,4.0,r y t y f q s a o l,1.0
1580.0,2020-03-06 19:00:00,Cliente_1579,$551.23,,tres,i n r l w v u c t h,0.0
1581.0,2020-03-06 20:00:00,Cliente_1580,239.63,Hogar,cinco,c h u r q d i a r z,0.0
1582.0,,Cliente_1581,397.0 USD,Hogar,2.0,d h d v p s j z s v,0.0
1583.0,2020-03-06 22:00:00,Cliente_1582,598.53,Libros,1.0,b t r u f r p d s m,0.0
1584.0,2020-03-06 23:00:00,Cliente_1583,501.8,Ropa,1.0,a c z d h l j i j h,0.0
1585.0,2020-03-07 00:00:00,Cliente_1584,987.91,Ropa,3.0,y f a y x u a z y k,0.0
1586.0,2020-03-07 01:00:00,Cliente_1585,145.08,Hogar,4.0,,0.0
1587.0,2020-03-07 02:00:00,,$698.19,Ropa,2.0,w a f d h q x i g w,0.0
1588.0,2020-03-07 03:00:00,Cliente_1587,410.28,Electrónica,cinco,v r q f s h g d q x,0.0
1589.0,2020-03-07 04:00:00,Cliente_1588,433.92,Hogar,4.0,k m x q j x i b l r,0.0
1590.0,2020-03-07 05:00:00,Cliente_1589,720.42 USD,,3.0,z j l e g m c v g l,0.0
1591.0,2020-03-07 06:00:00,Cliente_1590,695.51,Electrónica,4.0,c o t u n b a x u o,0.0
1592.0,2020-03-07 07:00:00,Cliente_1591,$991.34,Libros,3.0,c k t c e n o n v r,0.0
1593.0,,Cliente_1592,137.11,Ropa,uno,l d a s z s m f b l,0.0
1594.0,2020-03-07 09:00:00,Cliente_1593,113.07,Electrónica,uno,g m f c b w j n h h,0.0
1595.0,2020-03-07 10:00:00,Cliente_1594,727.1,Juguetes,cuatro,u e s a o e n n j l,0.0
1596.0,2020-03-07 11:00:00,Cliente_1595,582.6,Juguetes,dos,,0.0
1597.0,2020-03-07 12:00:00,Cliente_1596,281.42,Electrónica,cinco,v x l g l k v c p n,0.0
1598.0,2020-03-07 13:00:00,Cliente_1597,88.63,,3.0,v s m a z k l i i p,0.0
1599.0,,Cliente_1598,94.8,Hogar,cinco,t u b p r d g a r p,0.0
1600.0,2020-03-07 15:00:00,Cliente_1599,895.25,Ropa,1.0,o y b s t w q h a g,0.0
1601.0,2020-03-07 16:00:00,Cliente_1600,199.95,Juguetes,dos,z b u b p n v h v v,0.0
1602.0,2020-03-07 17:00:00,Cliente_1601,$330.14,Hogar,2.0,y k p z q q f p r v,0.0
1603.0,2020-03-07 18:00:00,Cliente_1602,234.39,Hogar,cinco,j o h k j c f h b m,0.0
1604.0,2020-03-07 19:00:00,Cliente_1603,$361.45,Juguetes,1.0,g g e i e t z r p p,0.0
1605.0,2020-03-07 20:00:00,Cliente_1604,$78.73,Libros,5.0,x z l a s x e l z r,0.0
1606.0,2020-03-07 21:00:00,Cliente_1605,523.87,Hogar,cuatro,a m n v o e c b e r,0.0
1607.0,2020-03-07 22:00:00,Cliente_1606,76.94,Electrónica,2.0,a u q c y y y u g r,0.0
1608.0,2020-03-07 23:00:00,Cliente_1607,802.35 USD,Ropa,dos,t o p x u l d c z z,0.0
1609.0,2020-03-08 00:00:00,Cliente_1608,241.37,Hogar,4.0,t n q z y n v w z y,0.0
1610.0,2020-03-08 01:00:00,Cliente_1609,544.61,Hogar,1.0,x h d t l w j n y o,0.0
1611.0,2020-03-08 02:00:00,Cliente_1610,881.28,Libros,2.0,l n l a e v g b m m,0.0
1612.0,2020-03-08 03:00:00,Cliente_1611,$654.37,Electrónica,3.0,c v v j c p c q c e,0.0
1613.0,2020-03-08 04:00:00,Cliente_1612,537.63,Ropa,3.0,x r p u p l x d s k,0.0
1614.0,2020-03-08 05:00:00,Cliente_1613,$331.09,Hogar,1.0,y r w r b b j s g u,0.0
1615.0,2020-03-08 06:00:00,Cliente_1614,,Ropa,4.0,u l j b x q e h x r,0.0
1616.0,2020-03-08 07:00:00,Cliente_1615,672.79,Juguetes,5.0,o i j c y p w r q e,0.0
1617.0,2020-03-08 08:00:00,Cliente_1616,994.2,Hogar,1.0,q x y s h p j g g p,0.0
1618.0,2020-03-08 09:00:00,Cliente_1617,$665.22,Hogar,5.0,a l i b a o c d z j,0.0
1619.0,2020-03-08 10:00:00,Cliente_1618,562.21,Juguetes,1.0,t v k o d n o u f n,0.0
1620.0,2020-03-08 11:00:00,Cliente_1619,733.34,Libros,tres,n n p w d g m z t l,0.0
1621.0,2020-03-08 12:00:00,Cliente_1620,$470.55,Hogar,4.0,o l q b h f v p t s,
1622.0,2020-03-08 13:00:00,,,Ropa,3.0,j t p v z w s c f s,0.0
1623.0,2020-03-08 14:00:00,Cliente_1622,566.67,Electrónica,cuatro,x i z b g o c i v a,0.0
1624.0,2020-03-08 15:00:00,Cliente_1623,958.05,Ropa,cinco,e x h h d d c i a f,0.0
1625.0,2020-03-08 16:00:00,Cliente_1624,183.55,Libros,uno,h a o k b t m x t u,0.0
1626.0,2020-03-08 17:00:00,Cliente_1625,693.1,Electrónica,2.0,d g n t q o y s w m,0.0
1627.0,2020-03-08 18:00:00,Cliente_1626,$208.92,Ropa,dos,o c c h n z u v q x,0.0
1628.0,,Cliente_1627,540.47,Ropa,4.0,q y o q n u g z k q,0.0
1629.0,2020-03-08 20:00:00,Cliente_1628,105.71 USD,Juguetes,4.0,l y j i x c i g i r,0.0
1630.0,2020-03-08 21:00:00,Cliente_1629,455.87,Libros,3.0,c p s r b r m j s j,0.0
1631.0,,Cliente_1630,,Juguetes,dos,s j b c r b v n u u,0.0
1632.0,2020-03-08 23:00:00,Cliente_1631,354.1,Electrónica,3.0,f i k s d n g j b m,0.0
1633.0,2020-03-09 00:00:00,Cliente_1632,668.26,,cinco,b p q h d n p e h j,0.0
1634.0,2020-03-09 01:00:00,,$797.5,Libros,2.0,j w u t o l m b u g,0.0
1635.0,2020-03-09 02:00:00,Cliente_1634,$927.91,Hogar,5.0,a u i l j t i x o u,0.0
1636.0,2020-03-09 03:00:00,Cliente_1635,242.3,Hogar,uno,i i f u u a d w j u,0.0
1637.0,2020-03-09 04:00:00,Cliente_1636,405.32,Electrónica,tres,w u w e k s b k i p,0.0
1638.0,2020-03-09 05:00:00,Cliente_1637,160.89,,4.0,f b s r e e e h z u,0.0
1639.0,2020-03-09 06:00:00,Cliente_1638,992.56,Juguetes,2.0,l w s m k t p k c e,0.0
1640.0,2020-03-09 07:00:00,Cliente_1639,$927.73,Electrónica,3.0,s c j z n y n n k b,0.0
1641.0,2020-03-09 08:00:00,Cliente_1640,544.56,Libros,cuatro,t z a m n k s z d w,0.0
1642.0,2020-03-09 09:00:00,Cliente_1641,843.61,Electrónica,uno,e p y l u a u l z k,0.0
1643.0,2020-03-09 10:00:00,Cliente_1642,525.75,Electrónica,dos,g e v b s x b n f t,0.0
1644.0,2020-03-09 11:00:00,,627.35,,5.0,m f i p k t b o z q,0.0
1645.0,2020-03-09 12:00:00,Cliente_1644,$98.23,Ropa,1.0,j g n i d o t n w j,0.0
1646.0,2020-03-09 13:00:00,Cliente_1645,757.72,,cuatro,t y b r l h j q i d,0.0
1647.0,2020-03-09 14:00:00,,136.44,Hogar,2.0,f w c y e s l u p t,0.0
1648.0,2020-03-09 15:00:00,Cliente_1647,$827.81,Ropa,dos,z r q v c l u t g h,0.0
1649.0,2020-03-09 16:00:00,Cliente_1648,784.21,Libros,1.0,,0.0
1650.0,2020-03-09 17:00:00,Cliente_1649,711.66 USD,Juguetes,2.0,s r b w p k g b i q,0.0
,2020-03-09 18:00:00,Cliente_1650,$45.8,Ropa,cuatro,a p u f s n d q f w,0.0
1652.0,2020-03-09 19:00:00,Cliente_1651,310.1,Electrónica,1.0,w a w w u t n s k m,0.0
1653.0,2020-03-09 20:00:00,Cliente_1652,270.48,Hogar,cinco,h x v i e g x y g l,0.0
1654.0,2020-03-09 21:00:00,Cliente_1653,366.54,Juguetes,1.0,v f n j b p f s o a,0.0
1655.0,2020-03-09 22:00:00,Cliente_1654,96.77 USD,Ropa,1.0,r t u r g p d l n r,0.0
1656.0,2020-03-09 23:00:00,Cliente_1655,937.59,,5.0,w t u o l p n e x r,0.0
1657.0,2020-03-10 00:00:00,Cliente_1656,$558.26,Hogar,cuatro,b z i p d m h l d j,1.0
1658.0,2020-03-10 01:00:00,Cliente_1657,312.47,Hogar,tres,a c s p t j g g x v,0.0
1659.0,2020-03-10 02:00:00,,403.01,Electrónica,3.0,q p e g o c z z r m,0.0
1660.0,2020-03-10 03:00:00,Cliente_1659,$452.73,Libros,5.0,k v y o z n n b p y,0.0
1661.0,2020-03-10 04:00:00,Cliente_1660,604.59,Hogar,cuatro,e d v a f x a r k l,0.0
1662.0,2020-03-10 05:00:00,Cliente_1661,520.52,Juguetes,dos,c x n q r o u m k a,0.0
,2020-03-10 06:00:00,Cliente_1662,920.2,Ropa,cinco,c h j u h x g o y q,0.0
1664.0,2020-03-10 07:00:00,,501.99,Juguetes,3.0,q c n b m k t w q f,0.0
1665.0,2020-03-10 08:00:00,Cliente_1664,992.24 USD,Electrónica,cuatro,i w p v u a f u a v,0.0
1666.0,2020-03-10 09:00:00,Cliente_1665,852.91,Electrónica,1.0,,0.0
1667.0,2020-03-10 10:00:00,Cliente_1666,216.43,Juguetes,4.0,r l z r k c a q x h,0.0
1668.0,2020-03-10 11:00:00,Cliente_1667,931.29,Libros,cuatro,c c v z f h v o c p,0.0
1669.0,2020-03-10 12:00:00,Cliente_1668,125.2,Electrónica,3.0,x p u m n a u t l o,0.0
,2020-03-10 13:00:00,Cliente_1669,819.28,Electrónica,3.0,h d n o q e p u n o,0.0
,2020-03-10 14:00:00,Cliente_1670,386.82,Juguetes,2.0,o n q d n r q u b a,0.0
1672.0,2020-03-10 15:00:00,Cliente_1671,$879.19,Electrónica,2.0,u l j v o x a p d y,0.0
1673.0,2020-03-10 16:00:00,Cliente_1672,$869.38,Libros,cinco,d w t j w q p v e a,0.0
1674.0,2020-03-10 17:00:00,Cliente_1673,807.87,Libros,,z o a y x j d b l i,0.0
1675.0,2020-03-10 18:00:00,,792.13 USD,Libros,dos,i y l l s r d h p u,0.0
1676.0,2020-03-10 19:00:00,Cliente_1675,311.63,Ropa,3.0,c r v o h p p y l e,0.0
1677.0,2020-03-10 20:00:00,Cliente_1676,$90.11,Libros,cuatro,d y i p l v w x g t,0.0
1678.0,2020-03-10 21:00:00,Cliente_1677,408.95,Libros,5.0,,0.0
1679.0,2020-03-10 22:00:00,Cliente_1678,181.79,Ropa,dos,v d v j v s a t b k,0.0
,2020-03-10 23:00:00,Cliente_1679,698.0 USD,Hogar,cuatro,y x k y l f d w m e,0.0
1681.0,2020-03-11 00:00:00,Cliente_1680,$352.64,Electrónica,cuatro,e o i s u a c n y v,0.0
1682.0,2020-03-11 01:00:00,Cliente_1681,$975.85,Libros,2.0,e r s g d k k y y u,0.0
1683.0,2020-03-11 02:00:00,Cliente_1682,$644.56,Electrónica,1.0,j m b j o s y c o z,0.0
1684.0,2020-03-11 03:00:00,Cliente_1683,824.26,Juguetes,uno,p v x c v c e c w t,0.0
1685.0,2020-03-11 04:00:00,Cliente_1684,141.2,Electrónica,5.0,f v u b o f a b l i,0.0
1686.0,2020-03-11 05:00:00,Cliente_1685,,Ropa,1.0,a y g s z c n u o i,0.0
1687.0,2020-03-11 06:00:00,Cliente_1686,$923.53,Electrónica,cinco,h v d o m p o w k d,
1688.0,2020-03-11 07:00:00,Cliente_1687,$492.19,Electrónica,tres,g y t k t y u n d m,0.0
1689.0,2020-03-11 08:00:00,Cliente_1688,$610.19,Electrónica,2.0,u v c x s b g b j o,0.0
1690.0,2020-03-11 09:00:00,Cliente_1689,767.16 USD,Hogar,cuatro,p f e m h z u s l n,0.0
,2020-03-11 10:00:00,,183.09,Hogar,cinco,w g w d n k h o b l,0.0
1692.0,2020-03-11 11:00:00,Cliente_1691,507.54 USD,,1.0,f o z z x y n o z i,0.0
1693.0,2020-03-11 12:00:00,Cliente_1692,404.68,,cinco,f x u q w k d b i l,0.0
1694.0,2020-03-11 13:00:00,Cliente_1693,154.91,Electrónica,5.0,l h b j q j j k f e,0.0
1695.0,2020-03-11 14:00:00,Cliente_1694,373.86,Electrónica,1.0,v p o i t c m s s r,0.0
1696.0,2020-03-11 15:00:00,Cliente_1695,$77.49,Electrónica,uno,p x c c c u y c z a,0.0
1697.0,2020-03-11 16:00:00,Cliente_1696,$35.55,Electrónica,dos,i h y r b s e a s j,0.0
1698.0,2020-03-11 17:00:00,Cliente_1697,$143.81,Hogar,4.0,g v y s c e a c d l,0.0
1699.0,2020-03-11 18:00:00,Cliente_1698,963.48 USD,Juguetes,dos,i u o w b e k v x c,0.0
1700.0,2020-03-11 19:00:00,Cliente_1699,$554.03,Libros,dos,c f s e w z r r g q,0.0
1701.0,2020-03-11 20:00:00,Cliente_1700,$966.16,Ropa,1.0,q a h y m t s v m o,0.0
1702.0,2020-03-11 21:00:00,Cliente_1701,$438.17,Electrónica,uno,,0.0
1703.0,2020-03-11 22:00:00,Cliente_1702,318.7,Juguetes,4.0,y q z u a r p a j y,0.0
1704.0,2020-03-11 23:00:00,Cliente_1703,511.08,Libros,5.0,w l n s t b o q x y,0.0
1705.0,2020-03-12 00:00:00,Cliente_1704,$445.12,Juguetes,2.0,z i p x y j t g j o,0.0
1706.0,2020-03-12 01:00:00,Cliente_1705,$114.61,Hogar,4.0,d j b b z o p q k l,0.0
1707.0,2020-03-12 02:00:00,Cliente_1706,644.42 USD,Libros,2.0,x v b o s m b s g m,0.0
1708.0,2020-03-12 03:00:00,Cliente_1707,223.88,Juguetes,5.0,g r s y r o h p z j,0.0
1709.0,2020-03-12 04:00:00,Cliente_1708,623.39,Hogar,2.0,,
1710.0,,Cliente_1709,$653.7,Juguetes,3.0,b f j g x e c n e b,1.0
1711.0,2020-03-12 06:00:00,Cliente_1710,$160.5,Juguetes,,e y s d u i w b t a,0.0
1712.0,,Cliente_1711,70.74,Libros,1.0,b x k r j a t o x n,0.0
1713.0,2020-03-12 08:00:00,Cliente_1712,782.95,Hogar,dos,g d x c k f d y h r,0.0
1714.0,,Cliente_1713,465.2,Electrónica,cuatro,y y l t z o z l w w,0.0
1715.0,2020-03-12 10:00:00,Cliente_1714,$67.58,Ropa,cuatro,,0.0
1716.0,2020-03-12 11:00:00,,994.92,,dos,u x d j n c m m a p,1.0
1717.0,2020-03-12 12:00:00,Cliente_1716,$67.2,,1.0,a l c i e s o e l y,0.0
1718.0,2020-03-12 13:00:00,Cliente_1717,698.08,Juguetes,uno,c u s e j x u n x s,
1719.0,2020-03-12 14:00:00,Cliente_1718,983.84,Hogar,2.0,r o l u n f j o c p,0.0
1720.0,2020-03-12 15:00:00,Cliente_1719,$246.79,Ropa,cuatro,i t r m s c o b b z,0.0
1721.0,2020-03-12 16:00:00,Cliente_1720,150.83,Ropa,uno,i g n v p f o j y n,0.0
1722.0,2020-03-12 17:00:00,Cliente_1721,$130.17,Electrónica,2.0,p x u h y i b c n e,0.0
1723.0,2020-03-12 18:00:00,Cliente_1722,$310.24,Electrónica,2.0,t e b o p n q v f r,0.0
